Date,PlotName,NAME,PLOT,BLOCK,RANGE,ROW,PEDIGREE,MAT_DAY,DH,HT,LODG,YLD,ID,Blue,Green,Red,RedEdge,NIR,NGRDI,BGI,GLI,NDVI,NDRE,CIG,CIRE,Canopy,objNumCell,naNumCell,Height_0,Height_25,Height_50,Height_75,Height_100,Height_10,Height_90,DAP
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1201,NDHWS17-0187-C27,1201,2,19,24,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,206,175,31,2,108.55,14,0.030491508,0.034305542,0.024491355,0.053856924,0.185763223,0.206107402,0.797444923,0.175922712,0.692390039,0.482409675,5.366690639,2.653654956,0.619971264,5178,8352,-0.176276743,0.026306022,0.148058572,0.200664383,0.237997352,-0.055165229,0.221455995,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1202,NDHWS17-0066-A18,1202,2,19,25,NDSW1379/NDSW1370,207,176,28,2,99.67,15,0.032087879,0.037531005,0.027070604,0.058483262,0.199926202,0.183921882,0.802916647,0.161157739,0.684627449,0.475738049,4.829555624,2.476207387,0.62835249,5248,8352,-0.180350527,0.073818062,0.147672794,0.18495685,0.235414669,-0.011739855,0.200200541,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1203,NDHWS17-0187-C24,1203,2,19,26,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,209,178,29,1,98.3,16,0.030541096,0.036139807,0.025284247,0.057467059,0.208999374,0.206514883,0.781947266,0.180860463,0.700998443,0.49039359,5.425966856,2.704088098,0.631465517,5274,8352,-0.148611881,0.075237091,0.134443401,0.157464116,0.204490148,0.007012032,0.178751761,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1204,NDHWS17-0001-A24,1204,2,19,27,CHECK_02/NDSW1370,205,172,27,1,105.2,17,0.031632646,0.036274555,0.025277,0.0570894,0.184957674,0.206376076,0.814224163,0.168528619,0.687296879,0.463242042,4.602940166,2.30902096,0.622964559,5203,8352,-0.182290132,0.067198703,0.17376422,0.220133289,0.265359707,-0.023172351,0.243561109,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1205,NDHWS17-0001-A22,1205,2,19,28,CHECK_02/NDSW1370,206,172,29,1,105.42,18,0.03129029,0.03542537,0.025171552,0.055463868,0.180193318,0.193223482,0.828933426,0.156457184,0.682726606,0.463780293,4.55382418,2.306470747,0.606202107,5063,8352,-0.141363387,0.07202867,0.13452328,0.180455184,0.233522909,-0.020956787,0.20823,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1206,NDHWS17-0128-C36,1206,2,19,29,NDSW10067'S'//NDSW1304'A'/NDSW0932,204,171,28,1,74.31,19,0.034105232,0.035884809,0.025975812,0.056134924,0.167959851,0.196521699,0.8732592,0.141015311,0.675709417,0.44967262,4.455569781,2.171140417,0.588601533,4916,8352,-0.18110784,-0.050144628,0.00625474,0.041705587,0.079286814,-0.077642327,0.060598389,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1207,NDHWS17-0040-A30,1207,2,19,30,NDSW1370/NDSW0932,206,174,28,1,91.87,20,0.033295219,0.03620875,0.025710037,0.057463867,0.181913293,0.207652548,0.841812317,0.159247808,0.685719833,0.459571333,4.798249644,2.304414372,0.583931992,4877,8352,-0.178156866,-0.016258989,0.05609234,0.109662299,0.164900172,-0.058860821,0.147279349,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1208,NDHWS17-0066-A18,1208,2,19,31,NDSW1379/NDSW1370,208,176,28,2,99.07,21,0.03461175,0.039731034,0.028394166,0.062304027,0.210105565,0.188365489,0.81921919,0.157885446,0.680665502,0.465208062,4.769616513,2.414674947,0.613505747,5124,8352,-0.195288712,0.068479022,0.140492988,0.169962609,0.218768847,-0.039192844,0.193930121,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1209,NDHWS17-0362-A11,1209,2,19,32,NDSW1379/B104'S'//NDSW14098,NA,178,25,1,89.44,22,0.031959293,0.037675457,0.025832052,0.060121214,0.201995165,0.217361413,0.762436089,0.20004805,0.658391326,0.441781405,4.93139846,2.363735694,0.609794061,5093,8352,-0.164397836,0.061547604,0.122156726,0.152265409,0.180296171,-0.029221636,0.167910862,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1198,NDHWS17-0260-A12,1198,2,18,22,NDSW1379/NDSW0914,207,174,30,2,109.45,23,0.031256564,0.034011545,0.024781712,0.052650369,0.173255326,0.191239679,0.832445711,0.154426085,0.690081157,0.479795244,4.971164162,2.560728928,0.61170977,5109,8352,-0.163002216,0.031889185,0.156995747,0.22898407,0.274113429,-0.038848329,0.260158366,52
