PlotName,NAME,PLOT,BLOCK,RANGE,ROW,PEDIGREE,MAT_DAY,DH,HT,LODG,YLD,ID,Blue,Green,Red,RedEdge,NIR,NGRDI,BGI,GLI,NDVI,NDRE,CIG,CIRE,Canopy,TRAIT,AUC
1134,NDHWS17-0255-C39,1134,2,13,23,NDSW10117'S'/NDSW0612,208,176,29,2,91.95,79,0.04666336,0.04945005,0.03555995,0.07671936,0.2545433,0.2058143,0.831179,0.1641875,0.6885736,0.4785075,5.37064,2.687365,0.604541,NDRE,22.79732452
1135,NDHWS17-0128-C26,1135,2,13,24,NDSW10067'S'//NDSW1304'A'/NDSW0932,207,174,28,2,94.85,80,0.04586342,0.04606679,0.03404007,0.07052115,0.2166001,0.1995541,0.8673139,0.1462367,0.6797419,0.4705473,5.052901,2.520377,0.5985915,NDRE,21.93895597
1136,NDHWS17-0252-A16,1136,2,13,25,NDSW14098/CHECK_02,210,176,29,2,97.77,81,0.04608021,0.05078498,0.03566668,0.07946639,0.2698571,0.2189724,0.8021361,0.1824519,0.6963465,0.4833258,5.385348,2.693042,0.611317,NDRE,23.18658113
1137,NDHWS17-0045-C37,1137,2,13,26,NDSW0932/NDSW10067'S',207,176,28,2,90.95,82,0.04303261,0.04592333,0.0323398,0.0723906,0.2381061,0.2241382,0.8108254,0.1806658,0.7003985,0.4859694,5.38985,2.648114,0.6239679,NDRE,22.70185106
1138,NDHWS17-0057-C15,1138,2,13,27,NDSW1370/NDSW0914,211,179,35,1,101.08,83,0.04508712,0.04933074,0.03606671,0.07638663,0.2770555,0.1856043,0.8095974,0.1618923,0.6961978,0.5005494,5.731775,2.983821,0.6181122,NDRE,24.45707936
1139,NDHWS17-0066-C37,1139,2,13,28,NDSW1379/NDSW1370,207,174,28,2,109.32,84,0.04394531,0.04725301,0.03431167,0.07298138,0.2491538,0.1939661,0.8183448,0.1622585,0.6927288,0.4909164,5.345311,2.753187,0.6156412,NDRE,23.10943413
1140,NDHWS17-0045-C38,1140,2,13,29,NDSW0932/NDSW10067'S',211,175,33,3,109,85,0.04193582,0.045471,0.0318042,0.07240327,0.2654204,0.2416228,0.7750066,0.2043581,0.718864,0.5114544,6.549612,3.122396,0.6249073,NDRE,24.53568882
1141,FALLER,1141,2,13,30,ND2857/3/KITT/AMIDON//GR/STOASIB,208,174,32,2,112.85,86,0.04474821,0.04691328,0.03364807,0.0737319,0.2532864,0.2116501,0.8263327,0.1674961,0.7055504,0.4978421,5.792663,2.852783,0.6199611,NDRE,23.85505284
1142,NDHWS17-0260-A12,1142,2,13,31,NDSW1379/NDSW0914,210,174,30,2,108.06,87,0.04566351,0.04674036,0.0343631,0.07202714,0.2418991,0.1998123,0.8380927,0.1583411,0.6976438,0.495259,5.740289,2.913232,0.6077341,NDRE,24.04242701
1143,FALLER,1143,2,13,32,ND2857/3/KITT/AMIDON//GR/STOASIB,211,174,34,2,111.32,88,0.04087465,0.04415335,0.0307159,0.07092082,0.2541656,0.2286145,0.7943695,0.1912291,0.7103625,0.5000093,6.121091,2.944428,0.6192241,NDRE,24.3091056
1132,NDHWS17-0323-A06,1132,2,12,22,NDSW15128/NDSW1370//NDSW14098,215,177,29,1,96.82,89,0.04072353,0.04878527,0.03226556,0.08021386,0.2857342,0.244209,0.7504012,0.2144277,0.7207539,0.4935578,5.628961,2.671664,0.6606128,NDRE,23.83198821
1131,NDHWS17-0323-C19,1131,2,12,23,NDSW15128/NDSW1370//NDSW14098,211,174,29,1,112.77,90,0.04209689,0.04628144,0.03228797,0.07420647,0.2628165,0.2226895,0.7917034,0.1866234,0.7132899,0.4991911,5.921862,2.864886,0.6381739,NDRE,24.13771428
1130,NDHWS17-0323-A06,1130,2,12,24,NDSW15128/NDSW1370//NDSW14098,214,176,30,1,107.37,91,0.04341449,0.05093399,0.03417926,0.08278248,0.2963651,0.2417724,0.7556355,0.210715,0.7184937,0.4958613,5.767072,2.756854,0.6460341,NDRE,24.11226645
1129,NDHWS17-0256-A16,1129,2,12,25,NDSW14098/NDSW0612,212,178,32,1,109.5,92,0.04331933,0.04718137,0.03325442,0.07481683,0.2626467,0.2249235,0.7897604,0.189028,0.7103817,0.5000766,6.028372,2.927114,0.6328144,NDRE,23.85644717
1128,NDHWS17-0187-H56,1128,2,12,26,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,212,180,33,2,100.56,93,0.04110802,0.04686258,0.03224397,0.07649999,0.2886994,0.236831,0.753121,0.2112812,0.7185632,0.5084728,6.483354,3.057765,0.6359883,NDRE,24.68037003
1127,NDHWS17-0040-A30,1127,2,12,27,NDSW1370/NDSW0932,208,174,32,2,105.68,94,0.04071228,0.04408302,0.03079165,0.07123993,0.2489039,0.2377656,0.7786582,0.2008256,0.7176434,0.5013622,6.224976,2.914133,0.632938,NDRE,23.71968345
1126,NDHWS17-0362-A17,1126,2,12,28,NDSW1379/B104'S'//NDSW14098,210,175,29,2,113.91,95,0.04118461,0.04502629,0.03186461,0.07116036,0.2459238,0.2086498,0.8087888,0.173105,0.702159,0.4922986,5.492634,2.74103,0.6309612,NDRE,23.41536817
1125,NDHWS17-0126-H51,1125,2,12,29,NDSW0932//NDSW0450/NDSW10067'S',211,175,28,2,104.04,96,0.04367417,0.04434601,0.03242174,0.0695825,0.2254409,0.2192918,0.8293181,0.1724583,0.6976736,0.4862136,5.870519,2.781157,0.5974796,NDRE,22.90610733
